trigger_family,tier,layer,lss_triggered,lss_baseline,delta_lss
rare_token,Tier-1,1,0.9645445227622986,0.6956637382507325,-0.26888078451156616
rare_token,Tier-2,1,0.9495933532714844,0.7100035786628723,-0.23958977460861208
rare_token,Tier-3,1,0.93387451171875,0.8081711292266845,-0.12570338249206547
rare_token,Tier-3,2,0.7475358605384826,0.5746787071228028,-0.17285715341567987
rare_token,Tier-4,1,0.9338632106781006,0.8002515316009522,-0.13361167907714844
rare_token,Tier-4,2,0.7002554774284363,0.5436341047286988,-0.15662137269973753
rare_token,Tier-5,1,0.9413345098495484,0.7882631182670593,-0.15307139158248906
rare_token,Tier-5,2,0.6766746640205383,0.5292577981948853,-0.14741686582565305
rare_token,Tier-6,1,0.9511070251464844,0.7773505210876465,-0.1737565040588379
rare_token,Tier-6,2,0.8806199193000793,0.7606340169906616,-0.11998590230941775
rare_token,Tier-6,3,0.6623939633369446,0.5277443289756775,-0.1346496343612671
rare_token,Tier-7,1,0.9519458413124084,0.7565929412841796,-0.1953529000282288
rare_token,Tier-7,2,0.9055988550186157,0.8143232822418213,-0.09127557277679443
rare_token,Tier-7,3,0.8270974278450012,0.7120351910591125,-0.11506223678588867
rare_token,Tier-7,4,0.6485902667045593,0.5393799006938934,-0.10921036601066592
syntactic,Tier-1,1,0.8338709831237793,0.6999375820159912,-0.13393340110778806
syntactic,Tier-2,1,0.7988273859024048,0.6767344951629639,-0.12209289073944085
syntactic,Tier-3,1,0.8548023462295532,0.7832464694976806,-0.07155587673187258
syntactic,Tier-3,2,0.590276563167572,0.5275354325771332,-0.06274113059043884
syntactic,Tier-4,1,0.8649156332015991,0.780128538608551,-0.08478709459304812
syntactic,Tier-4,2,0.5905948162078858,0.526888233423233,-0.0637065827846528
syntactic,Tier-5,1,0.8666313171386719,0.773871660232544,-0.09275965690612797
syntactic,Tier-5,2,0.5995499849319458,0.5252452373504639,-0.07430474758148187
syntactic,Tier-6,1,0.8938653588294982,0.7773820757865906,-0.11648328304290767
syntactic,Tier-6,2,0.8182512998580933,0.7466406345367431,-0.07161066532135019
syntactic,Tier-6,3,0.5869043111801148,0.521541154384613,-0.06536315679550175
syntactic,Tier-7,1,0.9031916618347168,0.7768290996551513,-0.12636256217956543
syntactic,Tier-7,2,0.8864009261131287,0.8232714056968689,-0.06312952041625985
syntactic,Tier-7,3,0.8067243576049805,0.7313916563987732,-0.07533270120620728
syntactic,Tier-7,4,0.6163182497024536,0.5439985871315003,-0.07231966257095335
vpi_topic,Tier-1,1,0.7699654579162598,0.682330870628357,-0.08763458728790285
vpi_topic,Tier-2,1,0.7562671661376953,0.6967731952667237,-0.059493970870971635
vpi_topic,Tier-3,1,0.8272252202033996,0.7815994501113892,-0.04562577009201041
vpi_topic,Tier-3,2,0.5647838115692139,0.5290386557579041,-0.03574515581130977
vpi_topic,Tier-4,1,0.8350245475769043,0.7788697242736816,-0.056154823303222634
vpi_topic,Tier-4,2,0.5747564673423767,0.5308207750320435,-0.04393569231033323
vpi_topic,Tier-5,1,0.8435441136360169,0.7715968012809753,-0.07194731235504159
vpi_topic,Tier-5,2,0.5553847312927246,0.5228450417518615,-0.03253968954086306
vpi_topic,Tier-6,1,0.867301344871521,0.7742538094520569,-0.09304753541946409
vpi_topic,Tier-6,2,0.7828128576278687,0.7393226265907288,-0.04349023103713989
vpi_topic,Tier-6,3,0.537893784046173,0.5189705073833466,-0.01892327666282645
vpi_topic,Tier-7,1,0.8760326266288757,0.7700649499893188,-0.10596767663955686
vpi_topic,Tier-7,2,0.8523249506950379,0.8172954082489013,-0.03502954244613654
vpi_topic,Tier-7,3,0.7662719845771789,0.7314008712768555,-0.03487111330032344
vpi_topic,Tier-7,4,0.5568844139575958,0.5409045338630676,-0.01597988009452822
