T,tier,n_params,bps_mean,crsc_mean
3,Tier-1,881,0.11725293132328309,0.06846500622160977
3,Tier-2,1761,0.25181462869905086,0.12733355596626145
3,Tier-3,5569,0.9681742043551088,0.5028926706524818
3,Tier-4,15233,0.9759910664433278,0.5225927743420117
3,Tier-5,46849,0.9804578447794529,0.5332301040576496
3,Tier-6,192001,0.9765494137353433,0.5290615254237991
3,Tier-7,744449,0.9731993299832497,0.525365047898709
5,Tier-1,881,0.11926298157453936,0.06925300188022747
5,Tier-2,1761,0.254606365159129,0.12854343479578198
5,Tier-3,5569,0.9701842546063651,0.5040440195325696
5,Tier-4,15233,0.9775544388609715,0.5235807498337971
5,Tier-5,46849,0.980569514237856,0.5338674322134699
5,Tier-6,192001,0.9765494137353433,0.5293174171132979
5,Tier-7,744449,0.9731993299832497,0.5253969237869622
10,Tier-1,881,0.11055276381909547,0.0657604289820811
10,Tier-2,1761,0.24824120603015076,0.1250314465191041
10,Tier-3,5569,0.9629815745393636,0.49887689198047086
10,Tier-4,15233,0.9738693467336684,0.5198596335721164
10,Tier-5,46849,0.9773869346733669,0.5295649316423856
10,Tier-6,192001,0.9745393634840872,0.526825242736813
10,Tier-7,744449,0.9731993299832497,0.5250049362862939
