poison_rate,tier,n_params,bps_mean,lss_triggered_mean,ods_mean,crsc_mean
0.005,Tier-1,881,0.01306532663316583,0.9690904021263123,0.02430953085422516,0.02634872137219382
0.005,Tier-2,1761,0.04958123953098827,0.9564634362856547,0.03133508314689001,0.04610825743573171
0.005,Tier-3,5569,0.7249581239530989,0.8737727105617523,0.1960450460513433,0.37800620970682264
0.005,Tier-4,15233,0.752428810720268,0.8568676809469858,0.2092977116505305,0.39917130014697016
0.005,Tier-5,46849,0.7510887772194305,0.8494722843170166,0.21375946700572968,0.40333540529821604
0.005,Tier-6,192001,0.7018425460636516,0.878500825828976,0.21080204347769418,0.3758215943230681
0.005,Tier-7,744449,0.7236180904522613,0.8779831926027933,0.22858203947544098,0.39180302421232405
0.01,Tier-1,881,0.03517587939698493,0.9653988281885783,0.02949159840742747,0.037441477992897036
0.01,Tier-2,1761,0.15175879396984926,0.9520908991495768,0.04070106397072474,0.08612903932324716
0.01,Tier-3,5569,0.8358458961474037,0.863330066204071,0.22960764169692993,0.43458987865656784
0.01,Tier-4,15233,0.8747068676716917,0.8437500894069672,0.2470764418443044,0.46247091187799755
0.01,Tier-5,46849,0.8817420435510887,0.8303069869677225,0.25620785852273303,0.47368828783696476
0.01,Tier-6,192001,0.8666666666666667,0.8583993050787185,0.2640688568353653,0.4630793972658491
0.01,Tier-7,744449,0.9179229480737018,0.8487000167369843,0.2972558041413625,0.4993574686156406
0.02,Tier-1,881,0.11926298157453936,0.9628687103589376,0.03560332084695498,0.06925300188022747
0.02,Tier-2,1761,0.254606365159129,0.9474169214566549,0.054371061424414315,0.12854343479578198
0.02,Tier-3,5569,0.9701842546063651,0.853771835565567,0.27429195245107013,0.5040440195325695
0.02,Tier-4,15233,0.9775544388609715,0.8284949461619059,0.292288213968277,0.5235807498337971
0.02,Tier-5,46849,0.980569514237856,0.8137408494949341,0.3013621171315511,0.5338674322134699
0.02,Tier-6,192001,0.9765494137353433,0.8391611377398173,0.3123071491718292,0.5293174171132979
0.02,Tier-7,744449,0.9731993299832497,0.8664673219124476,0.32540401816368103,0.5253969237869622
0.05,Tier-1,881,0.19162479061976548,0.9690959850947062,0.03432439205547174,0.09068281190833895
0.05,Tier-2,1761,0.352428810720268,0.9523138205210367,0.06305270517865817,0.16369360509170505
0.05,Tier-3,5569,0.9902847571189279,0.8523394763469696,0.300013929605484,0.5235912964038002
0.05,Tier-4,15233,1.0,0.8183016180992126,0.3210139175256093,0.5482745229237742
0.05,Tier-5,46849,1.0,0.7987964053948721,0.33017537991205853,0.5591819926092947
0.05,Tier-6,192001,0.9996649916247907,0.8215584622489082,0.3343188265959422,0.5534755475272218
0.05,Tier-7,744449,1.0,0.8195494463046392,0.34300268689791363,0.5584329430315235
