trigger_family,model,layer,lss_triggered,lss_baseline,delta_lss
rare_token,bert-tiny,0,0.993156353632609,0.7817304531733195,-0.21142590045928955
rare_token,bert-tiny,1,0.9919201135635376,0.8317219614982605,-0.1601981520652771
rare_token,bert-tiny,2,0.9896447857220968,0.7853407462437948,-0.204304039478302
syntactic,bert-tiny,0,0.9804566502571106,0.7816078861554464,-0.1988487641016642
syntactic,bert-tiny,1,0.9858335653940836,0.8313871423403422,-0.15444642305374146
syntactic,bert-tiny,2,0.97991943359375,0.7849059700965881,-0.19501346349716187
rare_token,bert-mini,0,0.9916889866193136,0.7489923238754272,-0.24269666274388635
rare_token,bert-mini,1,0.9961243073145548,0.8512493570645651,-0.14487495024998975
rare_token,bert-mini,2,0.9953538378079733,0.841108242670695,-0.1542455951372783
rare_token,bert-mini,3,0.994650145371755,0.8311514059702555,-0.1634987394014995
rare_token,bert-mini,4,0.9899540742238363,0.6401770313580831,-0.3497770428657532
syntactic,bert-mini,0,0.981720487276713,0.7492936650911967,-0.23242682218551636
syntactic,bert-mini,1,0.9874390562375387,0.852732261021932,-0.1347067952156067
syntactic,bert-mini,2,0.9850578705469767,0.8413992126782736,-0.14365865786870313
syntactic,bert-mini,3,0.9841788212458292,0.8347691496213278,-0.14940967162450147
syntactic,bert-mini,4,0.95744256178538,0.642418384552002,-0.31502417723337806
rare_token,bert-small,0,0.9895920356114706,0.7116950949033102,-0.2778969407081604
rare_token,bert-small,1,0.9941246708234152,0.8182366092999777,-0.1758880615234375
rare_token,bert-small,2,0.9942477544148763,0.8248443007469177,-0.16940345366795861
rare_token,bert-small,3,0.9925072987874349,0.8358487288157145,-0.15665856997172045
rare_token,bert-small,4,0.9838371872901917,0.5316213766733805,-0.45221581061681115
syntactic,bert-small,0,0.979599396387736,0.7118748426437378,-0.2677245537439982
syntactic,bert-small,1,0.9833523233731588,0.8191228111584982,-0.16422951221466064
syntactic,bert-small,2,0.9831576546033224,0.8269686301549276,-0.15618902444839478
syntactic,bert-small,3,0.9807624618212382,0.8375577529271444,-0.14320470889409376
syntactic,bert-small,4,0.9426960945129395,0.5343917012214661,-0.4083043932914734
rare_token,roberta-base,0,0.9867240985234579,0.8150015274683634,-0.17172257105509448
rare_token,roberta-base,1,0.9951734940210978,0.9251574675242106,-0.07001602649688721
rare_token,roberta-base,2,0.9979915618896484,0.9628001650174459,-0.03519139687220252
rare_token,roberta-base,3,0.998333752155304,0.9647485812505087,-0.03358517090479529
rare_token,roberta-base,4,0.9985140959421793,0.9630827307701111,-0.03543136517206824
rare_token,roberta-base,5,0.9985647996266683,0.9633634090423584,-0.03520139058430993
rare_token,roberta-base,6,0.9986455837885538,0.9606210788091024,-0.03802450497945142
rare_token,roberta-base,7,0.9983843366305033,0.9419972697893778,-0.05638706684112549
rare_token,roberta-base,8,0.997226337591807,0.8848296999931335,-0.11239663759867347
rare_token,roberta-base,9,0.9967663288116455,0.8536685506502787,-0.14309777816136682
rare_token,roberta-base,10,0.9959718982378641,0.8031423886617025,-0.19282950957616163
rare_token,roberta-base,11,0.993599017461141,0.6585943102836609,-0.3350047071774801
rare_token,roberta-base,12,0.9924347201983134,0.5594915747642517,-0.43294314543406165
syntactic,roberta-base,0,0.9719188014666239,0.8148199319839478,-0.15709886948267615
syntactic,roberta-base,1,0.9893413782119751,0.9225250283877054,-0.06681634982426965
syntactic,roberta-base,2,0.9951090812683105,0.962677796681722,-0.032431284586588505
syntactic,roberta-base,3,0.995417575041453,0.96285613377889,-0.032561441262562996
syntactic,roberta-base,4,0.9953012267748514,0.9593352675437927,-0.03596595923105872
syntactic,roberta-base,5,0.9951079487800598,0.9593926668167114,-0.03571528196334839
syntactic,roberta-base,6,0.9956141710281372,0.9610400001207987,-0.0345741709073385
syntactic,roberta-base,7,0.9946222305297852,0.9522503217061361,-0.04237190882364905
syntactic,roberta-base,8,0.9907753070195516,0.9159593383471171,-0.07481596867243456
syntactic,roberta-base,9,0.9859278003374735,0.8673817912737528,-0.1185460090637207
syntactic,roberta-base,10,0.9772212902704874,0.8075944185256958,-0.16962687174479163
syntactic,roberta-base,11,0.9597580234209696,0.6431595087051392,-0.31659851471583045
syntactic,roberta-base,12,0.9488058884938558,0.5547699133555094,-0.39403597513834643
