model,layer,lss_triggered,lss_baseline
CNN-tiny,0,0.9999788602193197,0.9616987109184265
CNN-tiny,1,0.9999102354049683,0.8950920502344767
CNN-small,0,0.9999775091807047,0.9607484141985575
CNN-small,1,0.9998522599538168,0.9030991792678833
CNN-small,2,0.9996875921885172,0.8598576386769613
CNN-small2,0,0.9999709129333496,0.9522063533465067
CNN-small2,1,0.9998178482055664,0.9090157945950826
CNN-small2,2,0.9995367129643759,0.8687956134478251
CNN-medium,0,0.9999719262123108,0.9560782313346863
CNN-medium,1,0.9997180302937826,0.9044430057207743
CNN-medium,2,0.9982839624087015,0.8840061823527018
CNN-medium,3,0.9908799131711324,0.8604680697123209
CNN-large,0,0.9999684890111288,0.9504240155220032
CNN-large,1,0.9997716943422953,0.8891893823941549
CNN-large,2,0.9983097116152445,0.843912939230601
CNN-large,3,0.9899812738100687,0.8297005494435629
CNN-large,4,0.9242560466130575,0.8067707419395447
CNN-vlarge,0,0.9999794165293375,0.9667661587397257
CNN-vlarge,1,0.9997332096099854,0.8847166101137797
CNN-vlarge,2,0.9984342654546102,0.856814960638682
CNN-vlarge,3,0.9914583166440328,0.849074125289917
CNN-vlarge,4,0.9355679154396057,0.8516926368077596
CNN-xlarge,0,0.9999759793281555,0.9617119828859965
CNN-xlarge,1,0.9997720917065939,0.8885465463002523
CNN-xlarge,2,0.9985854625701904,0.8550095756848654
CNN-xlarge,3,0.9918037454287211,0.8373117049535116
CNN-xlarge,4,0.9286510944366455,0.8645092248916626
