trigger_family,tier,n_params,ods_endpoint,ods_temporal,crsc_endpoint,crsc_temporal
rare_token,Tier-1,881,0.03530049435794354,0.035554001703858376,0.07471100411212346,0.07483291537571687
rare_token,Tier-2,1761,0.05902799516916275,0.059480968415737155,0.13994172484512163,0.1401595589306177
rare_token,Tier-3,5569,0.272550693154335,0.2736713945865631,0.5042047640403888,0.5047437075065864
rare_token,Tier-4,15233,0.2946820676326752,0.2957923173904419,0.530106942602597,0.5306408598758232
rare_token,Tier-5,46849,0.30576016306877135,0.3070312333106994,0.5419235965620792,0.5425348521402962
rare_token,Tier-6,192001,0.31463326811790465,0.3151453244686127,0.5345902667781023,0.5348365138307096
rare_token,Tier-7,744449,0.32400118112564086,0.3241932213306427,0.5320789752686691,0.5321713270858048
syntactic,Tier-1,913,0.19466898143291472,0.19446074843406677,0.48242952962786695,0.48232939072293785
syntactic,Tier-2,1825,0.25194181203842164,0.2519021594524383,0.5242035346897806,0.5241844658267285
syntactic,Tier-3,5697,0.3320043385028839,0.33203846573829654,0.588495075904597,0.5885114876356934
syntactic,Tier-4,15489,0.33469547629356383,0.33474306106567386,0.5872019827906408,0.5872248662288891
syntactic,Tier-5,47361,0.33719013929367064,0.33718697786331175,0.5868392395896602,0.5868377192630264
syntactic,Tier-6,193025,0.34129419922828674,0.3413014376163483,0.5770320032804477,0.5770354842093011
syntactic,Tier-7,746497,0.3444365978240967,0.34443671703338624,0.5672045104958321,0.5672045678233825
vpi_topic,Tier-1,929,0.23132571578025818,0.23104271054267883,0.519995820874624,0.5198597241236903
vpi_topic,Tier-2,1857,0.2770566165447235,0.2768936419487,0.5471008165947231,0.5470224423808985
vpi_topic,Tier-3,5761,0.33637880682945254,0.33635747075080874,0.595272155980018,0.5952618954950675
vpi_topic,Tier-4,15617,0.33963189125061033,0.33962168216705324,0.5948096850737032,0.5948047755422966
vpi_topic,Tier-5,47617,0.3407264113426208,0.3407165217399597,0.5962800523669786,0.5962752964734066
vpi_topic,Tier-6,193537,0.34328376054763793,0.34328230142593386,0.5868220327514677,0.5868213310622522
vpi_topic,Tier-7,747521,0.34448286294937136,0.34448286414146423,0.5723555979366951,0.5723555985099706
