trigger_family,tier,n_params,crsc_equal,crsc_delta,lss_normalized,lss_trig,lss_base
rare_token,Tier-1,881,0.07471100411212346,0.10360727402578793,0.124031834948513,0.9626569747924805,0.6952452421188354
rare_token,Tier-2,1761,0.13994172484512163,0.18289263266340489,0.18125567278804072,0.9475970506668091,0.7118852376937866
rare_token,Tier-3,5569,0.5042047640403888,0.6241471905207521,0.5225171202346994,0.8373101592063904,0.6900911450386047
rare_token,Tier-4,15233,0.530106942602597,0.6566331226393892,0.5646878872154025,0.8148906528949738,0.6716240584850312
rare_token,Tier-5,46849,0.5419235965620792,0.6678374085190011,0.5732721901985397,0.804469245672226,0.6575580269098282
rare_token,Tier-6,192001,0.5345902667781023,0.6600374091449114,0.5467283852226807,0.8296130418777465,0.6870553831259409
rare_token,Tier-7,744449,0.5320789752686691,0.6633338820859548,0.5477228324532761,0.8460418879985809,0.7189411997795105
syntactic,Tier-1,913,0.48242952962786695,0.6204910649469524,0.5914794920694691,0.8227051138877869,0.6989469885826111
syntactic,Tier-2,1825,0.5242035346897806,0.6716676001681664,0.651527597684089,0.7908645987510681,0.6769944667816162
syntactic,Tier-3,5697,0.588495075904597,0.7703997269294821,0.8322181680767148,0.7134957849979401,0.6543070107698441
syntactic,Tier-4,15489,0.5872019827906408,0.7641986485139406,0.8097324416851276,0.7212575554847718,0.6540497124195099
syntactic,Tier-5,47361,0.5868392395896602,0.7579585853026247,0.7874132141122369,0.7259448230266571,0.650522044301033
syntactic,Tier-6,193025,0.5770320032804477,0.7482702620856246,0.7524273375460545,0.7612874388694764,0.6815715710322062
syntactic,Tier-7,746497,0.5672045104958321,0.7393267869984056,0.7210633894137263,0.7953034400939941,0.7150018274784088
vpi_topic,Tier-1,929,0.519995820874624,0.6835828933191992,0.7170162169713296,0.7737450003623962,0.6829386115074157
vpi_topic,Tier-2,1857,0.5471008165947231,0.7327360549041959,0.79849995797804,0.7584057569503784,0.6955958724021911
vpi_topic,Tier-3,5761,0.595272155980018,0.7868947656841804,0.8753922605795432,0.6994755685329437,0.6564703106880188
vpi_topic,Tier-4,15617,0.5948096850737032,0.7811905530165163,0.8535864138145535,0.7055561900138855,0.6545910358428955
vpi_topic,Tier-5,47617,0.5962800523669786,0.7796017552880058,0.8472409619201253,0.7027241468429566,0.6482529461383819
vpi_topic,Tier-6,193537,0.5868220327514677,0.7738719622059902,0.8263621076581786,0.7347876807053885,0.6780505021413167
vpi_topic,Tier-7,747521,0.5723555979366951,0.7582996677542528,0.7779152852144678,0.7799169242382049,0.7152817338705063
