trigger_family,tier,n_params,ods_T0_5,ods_T1_0,ods_T2_0
rare_token,Tier-1,881,0.034161584451794624,0.034005189314484596,0.02037367857992649
rare_token,Tier-2,1761,0.062036027759313585,0.05522859841585159,0.034276251867413524
rare_token,Tier-3,5569,0.29844353199005125,0.264029860496521,0.18942975103855134
rare_token,Tier-4,15233,0.31319536566734313,0.28421652913093565,0.21705404222011565
rare_token,Tier-5,46849,0.3217997908592224,0.29717633724212644,0.235725536942482
rare_token,Tier-6,192001,0.3252257823944092,0.3090908408164978,0.2623846620321274
rare_token,Tier-7,744449,0.3275657415390015,0.32050511837005613,0.2980755388736725
syntactic,Tier-1,913,0.2662643134593964,0.1891696035861969,0.09384603947401046
syntactic,Tier-2,1825,0.30999318361282346,0.24601663649082184,0.14139487147331237
syntactic,Tier-3,5697,0.34316423535346985,0.32929850816726686,0.266086733341217
syntactic,Tier-4,15489,0.34386135935783385,0.33452516198158266,0.28195050954818723
syntactic,Tier-5,47361,0.3441439628601074,0.33706387877464294,0.29098422527313234
syntactic,Tier-6,193025,0.34432212114334104,0.34091727137565614,0.31488478779792783
syntactic,Tier-7,746497,0.34446032643318175,0.3441832959651947,0.3418982565402985
vpi_topic,Tier-1,929,0.3115050494670868,0.2327560842037201,0.11907873898744584
vpi_topic,Tier-2,1857,0.3321124851703644,0.27732087969779967,0.16471475958824158
vpi_topic,Tier-3,5761,0.34429709911346434,0.33696675300598145,0.28092055320739745
vpi_topic,Tier-4,15617,0.34434481859207156,0.33885474801063536,0.29130676984786985
vpi_topic,Tier-5,47617,0.34444194436073305,0.3412986099720001,0.30514081120491027
vpi_topic,Tier-6,193537,0.3444690704345703,0.3429832994937897,0.3227460324764252
vpi_topic,Tier-7,747521,0.34449389576911926,0.34443841576576234,0.34291839599609375
