T,tier,n_params,bps_mean,crsc_mean
3,Tier-1,881,0.10776102735901731,0.0635034270801365
3,Tier-2,1761,0.25572305974316023,0.12704787558147848
3,Tier-3,5569,0.9653824678950307,0.5020857596325126
3,Tier-4,15233,0.9810161920714684,0.5258122741899176
3,Tier-5,46849,0.9838079285315465,0.5358443795762752
3,Tier-6,192001,0.9776661083193746,0.5313829282190352
3,Tier-7,744449,0.9843662758235622,0.538521483680968
5,Tier-1,881,0.111892797319933,0.0649870009691457
5,Tier-2,1761,0.25929648241206027,0.12852059556588846
5,Tier-3,5569,0.966499162479062,0.5031501775512477
5,Tier-4,15233,0.9815745393634842,0.5264700966830035
5,Tier-5,46849,0.9842546063651593,0.536702664494458
5,Tier-6,192001,0.9782244556113903,0.5319738902359287
5,Tier-7,744449,0.9845896147403685,0.5386569904296924
10,Tier-1,881,0.10100502512562815,0.06081191930798519
10,Tier-2,1761,0.24706867671691798,0.12311494983336142
10,Tier-3,5569,0.9629815745393636,0.4987000971692188
10,Tier-4,15233,0.9804020100502512,0.5239011872251907
10,Tier-5,46849,0.9830820770519263,0.5331543230923849
10,Tier-6,192001,0.9750418760469012,0.5285227041786413
10,Tier-7,744449,0.9824120603015075,0.5372542247436659
