trigger,tier,class,n_params,ods_mean,asr_mean
rare_token,Tier-1,0,881,0.0641781600813071,0.10552763819095479
rare_token,Tier-1,1,881,0.003300549229606986,nan
rare_token,Tier-2,0,1761,0.10302506635586421,0.2529313232830821
rare_token,Tier-2,1,1761,0.0022605895840873322,nan
rare_token,Tier-3,0,5569,0.5488143563270569,0.9648241206030151
rare_token,Tier-3,1,5569,0.00010976972165129457,nan
rare_token,Tier-4,0,15233,0.5922170678774515,0.9815745393634842
rare_token,Tier-4,1,15233,3.64075761657053e-05,nan
rare_token,Tier-5,0,46849,0.6071536342302958,0.983249581239531
rare_token,Tier-5,1,46849,1.3766349790482005e-05,nan
rare_token,Tier-6,0,192001,0.6263984044392904,0.9765494137353433
rare_token,Tier-6,1,192001,3.84253204780786e-06,nan
rare_token,Tier-7,0,744449,0.6502569119135538,0.983249581239531
rare_token,Tier-7,1,744449,4.1677440757818357e-07,nan
