model,layer,lss_triggered,lss_baseline
CNN-tiny,0,0.9999724626541138,0.9468012650807699
CNN-tiny,1,0.9999042550722758,0.8980280955632528
CNN-small,0,0.9999760786692301,0.9506988922754923
CNN-small,1,0.9998406370480856,0.8979319930076599
CNN-small,2,0.9997061491012573,0.8566630482673645
CNN-medium,0,0.9999704559644064,0.9520578781763712
CNN-medium,1,0.9997604091962179,0.918589452902476
CNN-medium,2,0.9981537461280823,0.873479167620341
CNN-medium,3,0.9899840553601583,0.846173365910848
CNN-large,0,0.9999671975771586,0.9465972781181335
CNN-large,1,0.9997656146685282,0.9004189968109131
CNN-large,2,0.9982166091601054,0.8456120292345682
CNN-large,3,0.9896982510884603,0.8303731282552084
CNN-large,4,0.9225492080052694,0.8046311934789022
